client_id,requests_per_minute,requests_per_5_min,requests_per_hour,unique_hash_count,duplicate_ratio,pow_attempt_rate,hash_diversity,upload_to_query_ratio,inter_request_time_variance,burst_score,session_duration,cross_user_hash_overlap,attack_label
proj_1,15000,15000,15000,10445,0.2245333333333333,0.2245333333333333,0.6963333333333334,3.636110003985652,1.616122396356447e-05,1.0,31.99354203202529,17,dedup_dos
casa8,13912,13912,13912,1266,0.9072024151811384,0.9072024151811384,0.0910005750431282,15.766233766233766,2.204666320312947e-06,1.0,3.482664921088144,1266,ownership_fraud
proj_3,6505,15000,15000,5667,0.0692,0.0692,0.3778,0.0661270616982284,1.8290218695739065e-05,0.4336666666666666,120.2196068679914,85,hash_probing
casa9,15000,15000,15000,6222,0.4622,0.4622,0.4148,0.9791462217860648,8.549117864776452e-06,1.0,17.055000204010867,5992,dedup_dos
prxy_0,7433,15000,15000,3669,0.7545333333333333,0.7545333333333333,0.2446,9.958333333333334,1.8697021840802445e-05,0.4955333333333333,115.73972857405896,91,dedup_dos
rsrch_0,15000,15000,15000,3783,0.7478,0.7478,0.2522,44.57831325301205,1.296407539292954e-05,1.0,23.745194186922163,845,dedup_dos
homes10,15000,15000,15000,3241,0.7683333333333333,0.7683333333333333,0.2160666666666666,13.126016260162602,8.84792892544495e-06,1.0,15.251660154084677,2598,dedup_dos
rsrch_1,13778,13778,13778,4210,0.6941500943533169,0.6941500943533169,0.3055595877485847,99.33333333333331,1.7244339008168847e-05,1.0,30.816059679025784,600,dedup_dos
homes11,15000,15000,15000,3613,0.7582,0.7582,0.2408666666666666,12.141304347826088,3.23710970343667e-06,1.0,5.322340396000072,1828,ownership_fraud
homes12,15000,15000,15000,3064,0.7924666666666667,0.7924666666666667,0.2042666666666666,58.86538461538461,9.730618431829017e-06,1.0,16.887443084968254,2105,dedup_dos
rsrch_2,15000,15000,15000,5960,0.3206,0.3206,0.3973333333333333,0.2865799772755965,2.062676369523136e-05,1.0,44.67641815694515,574,dedup_dos
src1_0,15000,15000,15000,8031,0.0448,0.0448,0.5354,0.2629352137505509,7.309664956029072e-06,1.0,13.274290231987834,1503,dedup_dos
homes13,15000,15000,15000,3262,0.7809333333333334,0.7809333333333334,0.2174666666666666,116.35714285714286,9.39344476996988e-06,1.0,16.15932466404047,1841,dedup_dos
homes14,15000,15000,15000,3271,0.781,0.781,0.2180666666666666,30.285714285714285,2.6326497664594996e-06,1.0,4.381319847190753,2848,ownership_fraud
src1_1,15000,15000,15000,6842,0.0448666666666666,0.0448666666666666,0.4561333333333333,0.2796534476598785,1.2903036768338386e-05,1.0,25.175768043845892,271,dedup_dos
src1_2,15000,15000,15000,4350,0.6337333333333334,0.6337333333333334,0.29,2.7046527309507753,8.434035451859478e-06,1.0,14.96560166706331,65,dedup_dos
homes15,15000,15000,15000,2640,0.824,0.824,0.176,1319.0,3.91231588207341e-06,1.0,6.444960780907422,2119,ownership_fraud
homes16,15000,15000,15000,3775,0.7474666666666666,0.7474666666666666,0.2516666666666666,221.8235294117647,2.8579745504577817e-06,1.0,4.756665220018476,3597,ownership_fraud
src2_0,15000,15000,15000,2439,0.7733333333333333,0.7733333333333333,0.1626,1.5166543301258326,1.4533139997177545e-05,1.0,27.172288571950048,696,dedup_dos
src2_1,15000,15000,15000,4116,0.2264,0.2264,0.2744,0.2181398278395969,1.5168044510983462e-05,1.0,29.31298871198669,1194,dedup_dos
homes17,15000,15000,15000,3052,0.7962666666666667,0.7962666666666667,0.2034666666666666,610.2,1.450112522087382e-06,1.0,2.52122833696194,2729,ownership_fraud
src2_2,10961,15000,15000,8606,0.082,0.082,0.5737333333333333,0.6249704979938636,2.456117751740505e-05,0.7307333333333333,62.4706623069942,599,dedup_dos
homes18,15000,15000,15000,2149,0.8567333333333333,0.8567333333333333,0.1432666666666666,2149.0,4.93939840148272e-06,1.0,8.153896623989567,1855,ownership_fraud
stg_0,15000,15000,15000,4234,0.5115333333333333,0.5115333333333333,0.2822666666666666,0.5107216494845361,1.170574483903474e-05,1.0,21.57302076788619,458,dedup_dos
homes19,15000,15000,15000,1871,0.8752666666666666,0.8752666666666666,0.1247333333333333,1870.0,4.510009894099542e-06,1.0,7.525276109110564,1544,ownership_fraud
stg_1,15000,15000,15000,5445,0.6366666666666667,0.6366666666666667,0.363,680.25,9.56160904670654e-06,1.0,16.40586326015182,1003,dedup_dos
homes1,15000,15000,15000,3271,0.7818,0.7818,0.2180666666666666,1635.5,1.0563802918202086e-05,1.0,18.4308277037926,2184,dedup_dos
ts_0,15000,15000,15000,5078,0.2770666666666667,0.2770666666666667,0.3385333333333333,0.1554608417687799,1.144905954012494e-05,1.0,23.668877606047317,519,hash_probing
homes20,15000,15000,15000,2194,0.8520666666666666,0.8520666666666666,0.1462666666666666,27.818181818181817,3.0520838230939443e-06,1.0,4.987377092940733,1930,ownership_fraud
homes21,15000,15000,15000,6815,0.4359333333333333,0.4359333333333333,0.4543333333333333,1.2022384174908902,6.841442472589531e-06,1.0,13.691397805931048,6634,dedup_dos
usr_0,14146,15000,15000,3941,0.7053333333333334,0.7053333333333334,0.2627333333333333,1.7017114914425429,2.1680736613320625e-05,0.9430666666666668,64.04912156006321,868,dedup_dos
usr_1,15000,15000,15000,9012,0.2350666666666666,0.2350666666666666,0.6008,0.4076800392589866,1.8939725990720617e-05,1.0,41.80296636582352,11,dedup_dos
homes2,15000,15000,15000,4218,0.7186666666666667,0.7186666666666667,0.2812,1405.6666666666667,1.0106919652019718e-05,1.0,17.523536199936643,3173,dedup_dos
homes3,9005,15000,15000,7921,0.1686,0.1686,0.5280666666666667,0.1202838663312971,2.4749364192186824e-05,0.6003333333333334,81.99908262304962,948,hash_probing
usr_2,15000,15000,15000,7750,0.4226666666666667,0.4226666666666667,0.5166666666666667,2.3256528417818743,1.534041151231454e-05,1.0,30.461534753907472,306,dedup_dos
wdev_0,15000,15000,15000,4198,0.574,0.574,0.2798666666666666,0.8849557522123894,1.2459371487113908e-05,1.0,22.94333642697893,926,dedup_dos
homes4,15000,15000,15000,4258,0.7161333333333333,0.7161333333333333,0.2838666666666666,4258.0,1.061745458864919e-05,1.0,19.04634706210345,1706,dedup_dos
wdev_1,1053,1053,1053,156,0.8518518518518519,0.8518518518518519,0.1481481481481481,156.0,2.5247836388822313e-05,1.0,5.0645665428601205,58,ownership_fraud
homes5,15000,15000,15000,4155,0.7228666666666667,0.7228666666666667,0.277,2077.5,9.982373113202635e-06,1.0,17.371810800861567,942,dedup_dos
homes6,15000,15000,15000,3409,0.7726,0.7726,0.2272666666666666,1704.5,1.064918530830973e-05,1.0,18.7104512732476,2385,dedup_dos
wdev_2,15000,15000,15000,4141,0.7239333333333333,0.7239333333333333,0.2760666666666667,4141.0,1.5238839526748975e-05,1.0,28.49506856314838,1591,dedup_dos
wdev_3,680,680,680,118,0.825,0.825,0.1735294117647058,10.9,2.5147477640517776e-05,1.0,3.5490730106830597,82,ownership_fraud
homes7,15000,15000,15000,3860,0.7426,0.7426,0.2573333333333333,3860.0,1.0409765820881268e-05,1.0,18.182968709152192,2631,dedup_dos
homes8,15000,15000,15000,5104,0.6597333333333333,0.6597333333333333,0.3402666666666666,5104.0,9.56776325080873e-06,1.0,16.490661849733442,3431,dedup_dos
web_0,15000,15000,15000,2314,0.8384666666666667,0.8384666666666667,0.1542666666666666,6.790996784565916,2.149211442761512e-05,1.0,56.349679520353675,123,dedup_dos
homes9,15000,15000,15000,3755,0.7248,0.7248,0.2503333333333333,9.557544757033249,9.930957166809726e-06,1.0,17.449712817091495,2498,dedup_dos
web_1,10272,15000,15000,2925,0.5016666666666667,0.5016666666666667,0.195,0.3500090301607368,2.2950980611673648e-05,0.6848,81.88234562100843,216,dedup_dos
ikki10,15000,15000,15000,5505,0.6174,0.6174,0.367,22.234817813765183,4.929665141919913e-06,1.0,8.23038391303271,2997,ownership_fraud
web_2,15000,15000,15000,4937,0.0138,0.0138,0.3291333333333333,0.0064634644169274,2.226266047433583e-05,1.0,55.83102075802162,13,hash_probing
web_3,9310,15000,15000,8020,0.3900666666666667,0.3900666666666667,0.5346666666666666,1.3339285714285714,2.3641315748927336e-05,0.6206666666666667,94.90719260601328,124,dedup_dos
ikki11,15000,15000,15000,5716,0.6161333333333333,0.6161333333333333,0.3810666666666666,1.9942797711908475,3.976269801870273e-06,1.0,6.869509551208466,710,ownership_fraud
ikki12,15000,15000,15000,6336,0.574,0.574,0.4224,113.10714285714286,5.11490426388162e-06,1.0,8.47059038002044,2549,ownership_fraud
ikki13,6272,6272,6272,2416,0.6127232142857143,0.6127232142857143,0.3852040816326531,22.58252427184466,3.3739641217239552e-06,1.0,2.3149856980890036,700,ownership_fraud
ikki14,339,339,339,215,0.3657817109144542,0.3657817109144542,0.6342182890855457,215.0,1.7520847105074896e-05,1.0,0.7660874151624739,172,dedup_dos
ikki15,15000,15000,15000,3319,0.7724,0.7724,0.2212666666666666,21.91275167785235,1.351083368857296e-05,1.0,24.554118864703923,2541,dedup_dos
ikki16,15000,15000,15000,7185,0.5207333333333334,0.5207333333333334,0.479,1436.8,2.9878807264974938e-06,1.0,4.797097561880946,1549,ownership_fraud
ikki17,15000,15000,15000,2996,0.8002666666666667,0.8002666666666667,0.1997333333333333,2996.0,1.4989791877927882e-05,1.0,27.89295986201614,1478,dedup_dos
ikki18,15000,15000,15000,2764,0.8157333333333333,0.8157333333333333,0.1842666666666666,2764.0,1.4260782113461122e-05,1.0,26.16768370987847,1525,dedup_dos
ikki19,15000,15000,15000,3688,0.754,0.754,0.2458666666666666,1844.0,1.2380784190365449e-05,1.0,21.9526768126525,1584,dedup_dos
